FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,,Acre,Brazil,2021-01-06 05:22:16,-9.0238,-70.812,42170,808,33921,7441,"Acre, Brazil",4781.53151876272,1.916054066872184
,,Alagoas,Brazil,2021-01-06 05:22:16,-9.5713,-36.782,106410,2521,101352,2537,"Alagoas, Brazil",3188.451220531696,2.369138238887323
,,Amapa,Brazil,2021-01-06 05:22:16,0.902,-52.003,69096,943,53337,14816,"Amapa, Brazil",8169.973667750148,1.364767859210374
,,Amazonas,Brazil,2021-01-06 05:22:16,-3.4168,-65.8561,204900,5414,172626,26860,"Amazonas, Brazil",4943.7858493841495,2.6422645192776963
,,Bahia,Brazil,2021-01-06 05:22:16,-12.5797,-41.7007,499900,9276,485976,4648,"Bahia, Brazil",3361.109721574519,1.8555711142228446
,,Ceara,Brazil,2021-01-06 05:22:16,-5.4984,-39.3206,337956,10042,272302,55612,"Ceara, Brazil",3700.756826649969,2.971392725680266
,,Distrito Federal,Brazil,2021-01-06 05:22:16,-15.7998,-47.8645,254913,4305,244859,5749,"Distrito Federal, Brazil",8454.074397367,1.6888114768568099
,,Espirito Santo,Brazil,2021-01-06 05:22:16,-19.1834,-40.3089,255497,5199,233521,16777,"Espirito Santo, Brazil",6357.781842160925,2.0348575521434693
,,Goias,Brazil,2021-01-06 05:22:16,-15.827,-49.8362,311557,6885,301126,3546,"Goias, Brazil",4439.174769468737,2.209868499183135
,,Maranhao,Brazil,2021-01-06 05:22:16,-4.9609,-45.2744,201255,4531,191089,5635,"Maranhao, Brazil",2844.520868088039,2.2513726367046782
,,Mato Grosso,Brazil,2021-01-06 05:22:16,-12.6819,-56.9211,182707,4529,173069,5109,"Mato Grosso, Brazil",5243.472026990648,2.4788322286502433
,,Mato Grosso do Sul,Brazil,2021-01-06 05:22:16,-20.7722,-54.7852,137570,2431,122643,12496,"Mato Grosso do Sul, Brazil",4950.366788461692,1.767100385258414
,,Minas Gerais,Brazil,2021-01-06 05:22:16,-18.5122,-44.555,556692,12083,502948,41661,"Minas Gerais, Brazil",2629.7770146627645,2.1705000251485562
,,Para,Brazil,2021-01-06 05:22:16,-1.9981,-54.9306,295439,7235,277446,10758,"Para, Brazil",3434.1931437957005,2.448898080483619
,,Paraiba,Brazil,2021-01-06 05:22:16,-7.24,-36.782,168545,3740,127864,36941,"Paraiba, Brazil",4194.616048721207,2.218991960603993
,,Parana,Brazil,2021-01-06 05:22:16,-25.2521,-52.0215,427789,8155,312198,107436,"Parana, Brazil",3741.390666415835,1.9063136265775884
,,Pernambuco,Brazil,2021-01-06 05:22:16,-8.8137,-36.9541,225336,9709,190917,24710,"Pernambuco, Brazil",2357.793512259143,4.308676820392658
,,Piaui,Brazil,2021-01-06 05:22:16,-7.7183,-42.7289,144200,2863,140923,414,"Piaui, Brazil",4405.438425138251,1.9854368932038835
,,Rio Grande do Norte,Brazil,2021-01-06 05:22:16,-5.4026,-36.9541,120024,3046,68394,48584,"Rio Grande do Norte, Brazil",3422.555778642561,2.5378257681796974
,,Rio Grande do Sul,Brazil,2021-01-06 05:22:16,-30.0346,-51.2177,460609,9125,437882,13602,"Rio Grande do Sul, Brazil",4048.513000386122,1.98107288394278
,,Rio de Janeiro,Brazil,2021-01-06 05:22:16,-22.9068,-43.1729,443607,25837,412436,5334,"Rio de Janeiro, Brazil",2569.409004130509,5.824299436212684
,,Rondonia,Brazil,2021-01-06 05:22:16,-11.5057,-63.5806,97854,1852,82849,13153,"Rondonia, Brazil",5505.999521726287,1.892615529257874
,,Roraima,Brazil,2021-01-06 05:22:16,-2.7376,-62.0751,69029,789,66262,1978,"Roraima, Brazil",11395.418325048986,1.1429978704602413
,,Santa Catarina,Brazil,2021-01-06 05:22:16,-27.2423,-50.2189,502785,5420,481373,15992,"Santa Catarina, Brazil",7017.444200721639,1.0779955647045953
,,Sao Paulo,Brazil,2021-01-06 05:22:16,-23.5505,-46.6333,1486551,47222,1324431,114898,"Sao Paulo, Brazil",3237.3296755340034,3.176614862187708
,,Sergipe,Brazil,2021-01-06 05:22:16,-10.5741,-37.3857,116779,2524,101564,12691,"Sergipe, Brazil",5080.228094537077,2.1613475025475473
,,Tocantins,Brazil,2021-01-06 05:22:16,-10.1753,-48.2982,91230,1248,81537,8445,"Tocantins, Brazil",5800.239816996489,1.3679710621506083
