Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
Acre,Brazil,2021-04-06 04:20:32,-9.0238,-70.812,71330,1298,54972,15060,"Acre, Brazil",8087.8976341793905,1.8197112014580121
Alagoas,Brazil,2021-04-06 04:20:32,-9.5713,-36.782,156522,3665,148876,3981,"Alagoas, Brazil",4689.998702566132,2.3415238752379857
Amapa,Brazil,2021-04-06 04:20:32,0.902,-52.003,99237,1334,72904,24999,"Amapa, Brazil",11733.872827175544,1.344256678456624
Amazonas,Brazil,2021-04-06 04:20:32,-3.4168,-65.8561,352976,12107,301338,39531,"Amazonas, Brazil",8516.533694349535,3.429978242146775
Bahia,Brazil,2021-04-06 04:20:32,-12.5797,-41.7007,817722,15796,787720,14206,"Bahia, Brazil",5498.006328756468,1.9317078420294427
Ceara,Brazil,2021-04-06 04:20:32,-5.4984,-39.3206,552009,14407,388801,148801,"Ceara, Brazil",6044.724979353002,2.609921215052653
Distrito Federal,Brazil,2021-04-06 04:20:32,-15.7998,-47.8645,351163,6366,329673,15124,"Distrito Federal, Brazil",11646.16213218858,1.8128333565893902
Espirito Santo,Brazil,2021-04-06 04:20:32,-19.1834,-40.3089,390640,7753,360074,22813,"Espirito Santo, Brazil",9720.677341893424,1.9846917878353472
Goias,Brazil,2021-04-06 04:20:32,-15.827,-49.8362,490889,11887,468971,10031,"Goias, Brazil",6994.360786019058,2.421525029079894
Maranhao,Brazil,2021-04-06 04:20:32,-4.9609,-45.2744,244995,6278,220903,17814,"Maranhao, Brazil",3462.738267755977,2.5625012755362353
Mato Grosso,Brazil,2021-04-06 04:20:32,-12.6819,-56.9211,315295,7982,291209,16104,"Mato Grosso, Brazil",9048.58879380657,2.5315973929177438
Mato Grosso do Sul,Brazil,2021-04-06 04:20:32,-20.7722,-54.7852,221725,4513,202278,14934,"Mato Grosso do Sul, Brazil",7978.629615262546,2.035404216935393
Minas Gerais,Brazil,2021-04-06 04:20:32,-18.5122,-44.555,1159039,25713,1033692,99634,"Minas Gerais, Brazil",5475.225297467389,2.2184758235055075
Para,Brazil,2021-04-06 04:20:32,-1.9981,-54.9306,423691,10778,394451,18462,"Para, Brazil",4924.998823066501,2.5438350118364563
Paraiba,Brazil,2021-04-06 04:20:32,-7.24,-36.782,264640,5949,186259,72432,"Paraiba, Brazil",6586.153200234837,2.247959492140266
Parana,Brazil,2021-04-06 04:20:32,-25.2521,-52.0215,860424,17405,605045,237974,"Parana, Brazil",7525.163860595243,2.0228399021877586
Pernambuco,Brazil,2021-04-06 04:20:32,-8.8137,-36.9541,356326,12421,298206,45699,"Pernambuco, Brazil",3728.4017247543734,3.4858528426216444
Piaui,Brazil,2021-04-06 04:20:32,-7.7183,-42.7289,210843,4268,205341,1234,"Piaui, Brazil",6441.441427679779,2.0242550143945968
Rio Grande do Norte,Brazil,2021-04-06 04:20:32,-5.4026,-36.9541,199748,4641,142776,52331,"Rio Grande do Norte, Brazil",5695.933077320321,2.3234275186735287
Rio Grande do Sul,Brazil,2021-04-06 04:20:32,-30.0346,-51.2177,860924,20600,826381,13943,"Rio Grande do Sul, Brazil",7567.0731712676525,2.3927779920178787
Rio de Janeiro,Brazil,2021-04-06 04:20:32,-22.9068,-43.1729,659237,37693,614214,7330,"Rio de Janeiro, Brazil",3818.3560756615298,5.717670579776317
Rondonia,Brazil,2021-04-06 04:20:32,-11.5057,-63.5806,190995,4327,164607,22061,"Rondonia, Brazil",10746.810336338956,2.2655043325741513
Roraima,Brazil,2021-04-06 04:20:32,-2.7376,-62.0751,90371,1352,84118,4901,"Roraima, Brazil",14918.590004968955,1.4960551504354274
Santa Catarina,Brazil,2021-04-06 04:20:32,-27.2423,-50.2189,817884,11324,773868,32692,"Santa Catarina, Brazil",11415.32729230788,1.3845484200693496
Sao Paulo,Brazil,2021-04-06 04:20:32,-23.5505,-46.6333,2532047,77165,2166848,288034,"Sao Paulo, Brazil",5514.153831887938,3.0475342677288375
Sergipe,Brazil,2021-04-06 04:20:32,-10.5741,-37.3857,179278,3617,158658,17003,"Sergipe, Brazil",7799.117412654827,2.017537009560571
Tocantins,Brazil,2021-04-06 04:20:32,-10.1753,-48.2982,143651,2113,123375,18163,"Tocantins, Brazil",9133.073001768746,1.4709260638631128
